"","Assigned To","RESOLVED MERCHANT NAME","Confidence Level
(Resolved = 3
Unsure = 2
Can"t Resolve = 1)","Category (Flag = 1 if category is wrong )","MERCHANT NAME FOR GOOGLE SEARCH","num_tansactions","higest_amount","Original Transaction Descriptor (Use this field for reference)","lowest_amount","lowest_amount_descriptor","Category","other_information","Remarks, if any (Please input the category name for wrong categories i.e. Flag = 1 OR any other info you want to share)","Notes"
"33375","DC","","","","GRAETERS","325","47.8","GRAETERS60               NORTHBROOK   IL","0.8","GRAETERS76               INDIANAPOLIS IN","{"Fast Food": 325}","{"DOORDASH": 19}","",""
"33316","DC","","","","Gameloft Inc","325","108","GOOGLE *Gameloft Inc     g.co/helppay#CA","1.8","GOOGLE *Gameloft Inc     g.co/helppay#CA","{"Electronics & Software": 325}","{"GOOGLE": 325}","",""
"31609","DC","","","","FANTASY PHOTO BOOTH","325","10","USA*FANTASY PHOTO BOOTH KSEATTLE      WA","-5","USA*FANTASY PHOTO BOOTH KTAUNTON      MA","{"Entertainment": 325}","{"USA": 325}","",""
"24374","DC","","","","DPTV Detroit PBS","325","600","DPTV Detroit PBS         248-3053900  MI","-20.4","DPTV Detroit PBS         248-3053900  MI","{"Gifts & Donations": 325}","","",""
"31390","DC","","","","CMCO","325","53.6","CMCO - ATCC              DES MOINES   IA","0.5","CMCO - STRATTON          SPRINGFIELD  IL","{"Fast Food": 325}","","",""
"31368","DC","","","","CINFIN-LIFE-INSURANCE","325","985","CINFIN-LIFE-INSURANCE    888-242-0888 OH","8.6","CINFIN-LIFE-INSURANCE    888-242-0888 OH","{"Financial": 325}","","",""
"69303","DC","","","","CARSONJAMES.COM","325","97","CARSONJAMES.COM          386-249-9561 FL","-24.9","CARSONJAMES.COM          386-2499561  FL","{"Business Services": 325}","","",""
"31393","DC","","","","BOSTONS RESTAURANT","325","128.5","BOSTONS RESTAURANT       COON RAPIDS  MN","-55.3","BOSTONS RESTAURANT       COON RAPIDS  MN","{"Restaurants": 325}","","",""
"31711","DC","","","","ATT CONNECTECH","325","134.2","ATT*CONNECTECH           800-288-2020 TX","9.9","ATT*CONNECTECH           800-288-2020 TX","{"Home Phone": 325}","","",""
"31719","DC","","","","ASHLEYFURNITUREHOMESTO","325","978.9","ASHLEYFURNITUREHOMESTO   866-4363393  WI","-320.9","ASHLEYFURNITUREHOMESTO   866-4363393  WI","{"Furnishings": 325}","","",""
